Dist,YTD % Attendance (Avg),YTD Enrollment (Avg),District
DISTRICT 01,91.18,12367,1
DISTRICT 02,89.01,60823,2
DISTRICT 03,89.2,21962,3
DISTRICT 04,91.13,14252,4
DISTRICT 05,89.08,13170,5
DISTRICT 06,91.34,25733,6
DISTRICT 07,86.75,19717,7
DISTRICT 08,87.15,31625,8
DISTRICT 09,89.27,34518,9
DISTRICT 10,88.92,56757,10
DISTRICT 11,89.84,38230,11
DISTRICT 12,87.33,23118,12
DISTRICT 13,89.56,22785,13
DISTRICT 14,89.41,20181,14
DISTRICT 15,91.27,26786,15
DISTRICT 16,85.55,10196,16
DISTRICT 17,89.67,26551,17
DISTRICT 18,89.83,18641,18
DISTRICT 19,87.81,25632,19
DISTRICT 20,92.77,44214,20
DISTRICT 21,90.5,34342,21
DISTRICT 22,92.57,36352,22
DISTRICT 23,86.98,11833,23
DISTRICT 24,92.21,52936,24
DISTRICT 25,91.9,34371,25
DISTRICT 26,93.34,31988,26
DISTRICT 27,89.88,46007,27
DISTRICT 28,91.7,37009,28
DISTRICT 29,92.14,27232,29
DISTRICT 30,92.79,39742,30
DISTRICT 31,90.98,59373,31
DISTRICT 32,89.28,15297,32
SPECIAL ED DISTRICT 75,83.21,21435,75
